OPEID6,UnitID,Institution,County
1338,125499.0,West Valley College,Santa Clara
1344,126119.0,Yuba College,Yuba
4480,113333.0,De Anza College,Santa Clara
4481,120290.0,Ohlone College,Alameda
4502,112190.0,City College of San Francisco,San Francisco
5638,371690.0,Downey Adult School,Los Angeles
5655,383084.0,Hacienda La Puente Adult Education,Los Angeles
6720,108667.0,College of Alameda,Alameda
6731,111638.0,Casa Loma College-Los Angeles,Los Angeles
6973,111434.0,Canada College,San Mateo
7047,117715.0,Los Angeles Southwest College,Los Angeles
7050,109934.0,Bellus Academy-Chula Vista,San Diego
7115,119137.0,Moorpark College,Ventura
7142,118143.0,Lyle's College of  Beauty,Fresno
7187,119951.0,North Adrian's College of Beauty Inc,Stanislaus
7203,492953.0,Salon Success Academy-West Covina,Los Angeles
7204,118958.0,Modern Beauty Academy,Ventura
7253,114460.0,Federico Beauty Institute,Sacramento
7465,108852.0,American Academy of Dramatic Arts-Los Angeles,Los Angeles
7536,113096.0,Cosumnes River College,Sacramento
7607,124937.0,Concorde Career College-North Hollywood,Los Angeles
7707,112561.0,Columbia College,Tuolumne
7713,123509.0,Skyline College,San Mateo
7930,120661.0,Concorde Career College-San Diego,San Diego
8071,123679.0,Concorde Career College-Garden Grove,Orange
8073,110246.0,Butte College,Butte
8221,487597.0,Universal Technical Institute-Southern California,Los Angeles
8537,124706.0,Concorde Career College-San Bernardino,San Bernardino
8596,125471.0,West Los Angeles College,Los Angeles
8597,114433.0,Feather River Community College District,Plumas
8903,111461.0,College of the Canyons,Los Angeles
8918,122205.0,Saddleback College,Orange
9022,109721.0,Associated Technical College-Los Angeles,Los Angeles
9272,113111.0,Crafton Hills College,San Bernardino
9509,123493.0,Charles A Jones Career and Education Center,Sacramento
9748,246974.0,Carrington College-San Leandro Campus,Alameda
10111,111896.0,Cerro Coso Community College,Kern
10340,117894.0,Los Medanos College,Contra Costa
11112,114354.0,FIDM-Fashion Institute of Design & Merchandising,Los Angeles
11672,118684.0,Mendocino College,Mendocino
11707,120078.0,North-West College-Glendale,Los Angeles
11820,122384.0,San Diego Miramar College,San Diego
11865,111054.0,California Hair Design Academy,San Diego
11866,117955.0,Lu Ross Academy,Ventura
12026,116563.0,Bellus Academy-El Cajon,San Diego
12446,372240.0,Universal College of Beauty Inc-Los Angeles 2,Los Angeles
12452,114266.0,Evergreen Valley College,Santa Clara
12550,117867.0,Los Angeles Mission College,Los Angeles
12842,120421.0,Oxnard College,Ventura
12872,120069.0,North-West College-Riverside,Riverside
12907,117195.0,Lake Tahoe Community College,El Dorado
12912,118198.0,MTI College,Sacramento
12984,121433.0,Professional Institute of Beauty,Los Angeles
13010,117238.0,Lancaster Beauty School,Los Angeles
13074,108977.0,American Beauty College,Los Angeles
13095,121868.0,Salon Success Academy-Corona,Riverside
